# English link-stemming table for BibleSearch (word<TAB>link heads).
# Built with tools/eng_links/build_links.py from:
#  - AGID (Automatically Generated Inflection Database), Rev. 4.
#    Copyright 2000-2003 by Kevin Atkinson. Permission to use, copy, modify,
#    distribute and sell this database, the associated scripts, the output
#    created from the scripts and its documentation for any purpose is hereby
#    granted without fee, provided that the above copyright notice appears in
#    all copies. http://wordlist.aspell.net/
#  - Open English WordNet 2025, by the Open English WordNet Community,
#    CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/), derived from
#    Princeton WordNet 3.0, Copyright 2006 by Princeton University.
#    https://en-word.net/
a	a
aaron	aaron
abaddon	abaddon
abagtha	abagtha
abanah	abanah
abandon	abandon
abandoned	abandon
abandoning	abandon
abarim	abarim
abases	abas,abase
abated	abate
abba	abba
abda	abda
abdeel	abdeel
abdi	abdi
abdiel	abdiel
abdon	abdon
abed	abed
abel	abel
abhor	abhor
abhorred	abhor
abhorrence	abhor
abhorrent	abhor
abhorring	abhor
abhors	abhor
abi	abi
abiasaph	abiasaph
abiathar	abiathar
abib	abib
abidah	abidah
abidan	abidan
abide	abide
abides	abide
abiding	abide
abiel	abiel
abiezer	abiezer
abiezrites	abiezer
abigail	abigail
abihail	abihail
abihu	abihu
abihud	abihud
abijah	abijah
abijam	abijam
abilene	abilene
ability	able
abimael	abimael
abimelech	abimelech
abinadab	abinadab
abinoam	abinoam
abiram	abiram
abishag	abishag
abishai	abishai
abishalom	abishalom
abishua	abishua
abishur	abishur
abital	abital
abitub	abitub
abiud	abiud
able	able
abner	abner
aboard	aboard
abode	abide,abode
abolish	abolish
abolished	abolish
abominable	abominate
abominably	abominate
abomination	abominate
abominations	abominate
abound	abound
abounded	abound
abounding	abound
abounds	abound
about	about
above	above
abraham	abraham
abraham's	abraham
abram	abram
abram's	abram
abrek	abrek
abroad	abroad
abronah	abronah
absalom	absalom
absalom's	absalom
absence	absent
absent	absent
absolutely	absolute
abstain	abstain
absurd	absurd
abundance	abound
abundant	abound
abundantly	abound
abuse	abuse
abused	abuse
abusive	abuse
abyss	abyss
acacia	acacia
accad	accad
accept	accept
acceptable	accept
acceptance	accept
accepted	accept
access	access
acco	acco
accompanied	accompany
accompany	accompany
accompanying	accompany
accomplish	accomplish
accomplished	accomplish
accomplishing	accomplish
accord	accord
accordance	accord
according	accord
accordingly	accord
account	account
accounted	account
accounting	account
accounts	account
accumulated	accumulate
accurately	accurate
accursed	accurse
accusation	accuse
accuse	accuse
accused	accuse
accuser	accuse
accusers	accuse
accusing	accuse
accustomed	accustom
achaia	achaia
achaicus	achaicus
achan	achan
achar	achar
achbor	achbor
achim	achim
achish	achish
achmetha	achmetha
achor	achor
achshaph	achshaph
achzib	achzib
acknowledge	acknowledge
acknowledged	acknowledge
acquaintance	acquaint
acquaintances	acquaint
acquainted	acquaint
acquire	acquire
acquired	acquire
acquires	acquire
acquiring	acquire
acquisition	acquire
acquit	acquit
acquitted	acquit
across	across
acsah	acsah
act	act
acted	act
acting	act
action	action
actions	action
activity	act
acts	act
actually	actual
ad	ad
adadah	adadah
adah	adah
adaiah	adaiah
adalia	adalia
adam	adam
adamah	adamah
adami	adami
adan	adan
adar	adar
adbeel	adbeel
add	add
addan	addan
addar	addar
added	add
addi	addi
adding	add
addition	add
addon	addon
address	address
addressed	address
addresses	address
addressing	address
adds	add
adhering	adhere
adiel	adiel
adin	adin
adina	adina
adithaim	adithaim
adjacent	adjacent
adjoining	adjoin
adjudged	adjudge
adjure	adjure
adjured	adjure
adlai	adlai
admah	admah
admatha	admatha
admin	admin
administer	administer
administered	administer
administers	administer
administrating	administrate
administration	administer
administrators	administrate
admonish	admonish
admonished	admonish
admonishing	admonish
admonition	admonish
adna	adna
adnah	adnah
