# Pairs that must never be linked, even if a rule would connect them.
# word  other-word
knowledge ledge
restrain rain
restraint rain
restrain rest
breakfast break
breakfast fast
endanger anger
endanger end
salvation salve
authority author
shoulder should
passion pass
compassion compass
mischief chief
disease ease
display play
distribute tribute
discourse course
dismiss miss
missing sing
unless less
notable not
business busy
refreshment refresh
ravenous raven
standard stand
bound boundary
bound boundaries
hostages host
bandage band
bondage bond
wormwood worm
network net
muster must
burnished burn
considerately ate
designate ate
brimstone brim
pasturelands land
mainland main
rampart ram
caressing car
caressing sing
straightforward for
# -er / -ling / -en / -ern / -smith false hits found by audit.py
summer sum
letter let
render rend
master mast
brother broth
shower show
offer off
batter bat
waver wave
pitcher pitch
numbers numb
number numb
kindling kind
sparkling spark
wrestling wrest
wrestlings wrest
handling hand
leaven leave
listen list
discern disc
blacksmith black
tender tend
former form
flower flow
liver live
sewer sew
forward for
outward out
homer home
manner man
gader gad
doer doe
doers doe
does doe
scarlet let
scarlet scar
mustard must
mustard ard
